x,y
25,1
98,10
48,16
85,88
93,34
3,77
69,56
82,73
88,88
45,74
28,59
93,82
18,66
65,91
69,52
5,69
41,5
63,7
1,4
48,62
58,41
44,62
5,47
14,42
90,72
18,0
15,48
53,89
66,8
15,88
15,37
4,55
76,19
18,9
4,16
9,3
64,20
57,88
40,68
64,42
38,28
2,47
53,32
19,98
39,35
24,5
81,10
76,86
60,74
92,94
0,3
81,8
24,69
51,60
28,14
80,94
3,46
3,9
93,4
3,89
88,67
100,87
54,21
91,32
90,43
63,88
67,91
16,51
96,0
6,97
91,29
81,74
10,75
48,43
6,4
74,77
1,85
47,60
72,28
48,47
87,83
66,63
84,99
0,75
30,97
95,53
78,77
32,98
80,89
73,50
28,53
58,46
70,38
3,72
59,49
94,7
31,98
12,50
82,80
48,17
