size,time
1000,669400.000000
2000,923033.333333
3000,1236266.666667
4000,1461766.666667
5000,2122966.666667
6000,3401966.666667
7000,2775566.666667
8000,3658966.666667
9000,4601466.666667
10000,5138300.000000
11000,6366566.666667
12000,5219266.666667
13000,5923800.000000
14000,6916733.333333
15000,8018966.666667
16000,7584200.000000
17000,6763833.333333
18000,10108566.666667
19000,9388233.333333
20000,10053900.000000
21000,10591466.666667
22000,11711800.000000
23000,11986066.666667
24000,14331133.333333
25000,18081233.333333
26000,13574000.000000
27000,16380300.000000
28000,17035033.333333
29000,18689833.333333
30000,23116566.666667
31000,19030600.000000
32000,21527833.333333
33000,19679400.000000
34000,24428466.666667
35000,23911900.000000
36000,22713066.666667
37000,25763300.000000
38000,28523566.666667
39000,30913300.000000
40000,31289366.666667
41000,30676700.000000
42000,32285900.000000
43000,32101100.000000
44000,34270166.666667
45000,36697633.333333
46000,37248666.666667
47000,35893166.666667
48000,40419833.333333
49000,36808000.000000
50000,39837233.333333
51000,45232600.000000
52000,44118466.666667
53000,47188966.666667
54000,45299466.666667
55000,48017133.333333
56000,47230533.333333
57000,48015633.333333
58000,57109400.000000
59000,57496633.333333
60000,50137066.666667
61000,60239566.666667
62000,56972400.000000
63000,58166733.333333
64000,63559933.333333
65000,63331466.666667
66000,65740200.000000
67000,64864433.333333
68000,76172733.333333
69000,73309433.333333
70000,74696066.666667
71000,72796966.666667
72000,78711833.333333
73000,75156633.333333
74000,78792533.333333
75000,79049700.000000
76000,82999866.666667
77000,86122933.333333
78000,86059066.666667
79000,95464600.000000
80000,93990200.000000
81000,96365666.666667
82000,99001600.000000
83000,98334900.000000
84000,101514433.333333
85000,98559833.333333
86000,108469133.333333
87000,100745766.666667
88000,112656233.333333
89000,112606300.000000
90000,117385700.000000
91000,116454000.000000
92000,121928066.666667
93000,121866700.000000
94000,120755966.666667
95000,119424300.000000
96000,125195066.666667
97000,135581366.666667
98000,129749533.333333
99000,135966133.333333
100000,134143166.666667
