size,time_by_profit_ns,time_by_weight_ns,time_by_ratio_ns
1000,0.000000,0.000000,201300.000000
2000,1605900.000000,1651900.000000,101500.000000
3000,758000.000000,1072000.000000,2181000.000000
4000,704700.000000,2059300.000000,2057000.000000
5000,0.000000,1583100.000000,3469200.000000
6000,2232400.000000,4909400.000000,3361000.000000
7000,1447900.000000,2979100.000000,3647200.000000
8000,1931100.000000,2590100.000000,8497000.000000
9000,4233200.000000,3788600.000000,6530300.000000
10000,7192500.000000,4199200.000000,3786900.000000
11000,5626900.000000,3308700.000000,4513800.000000
12000,3964500.000000,7951600.000000,6953500.000000
13000,8370300.000000,6249100.000000,5350900.000000
14000,8524000.000000,8450300.000000,8046900.000000
15000,9077000.000000,9857200.000000,10104700.000000
16000,8308700.000000,7614800.000000,10198700.000000
17000,12247100.000000,15456100.000000,11420300.000000
18000,9100100.000000,11165500.000000,8920300.000000
19000,11959000.000000,7536300.000000,9356900.000000
20000,15533400.000000,16998000.000000,12049200.000000
21000,14906100.000000,18040200.000000,12852300.000000
22000,16861500.000000,22873000.000000,15632700.000000
23000,19960400.000000,19903900.000000,14889000.000000
24000,21320800.000000,24907400.000000,17419200.000000
25000,17042700.000000,18816200.000000,16074300.000000
26000,24428100.000000,24483400.000000,17340200.000000
27000,28161200.000000,21652800.000000,19159200.000000
28000,24956700.000000,23844700.000000,19932900.000000
29000,26143400.000000,27512500.000000,23445900.000000
30000,24841000.000000,27983800.000000,18963500.000000
31000,29203700.000000,30066600.000000,22513200.000000
32000,28834800.000000,32776400.000000,18339400.000000
33000,30641700.000000,32177700.000000,18758300.000000
34000,27856600.000000,29746600.000000,17380400.000000
35000,29255800.000000,32261600.000000,18391400.000000
36000,26110000.000000,37442300.000000,20520500.000000
37000,33949100.000000,40672800.000000,20596400.000000
38000,30256600.000000,37863400.000000,23800300.000000
39000,42015400.000000,45882900.000000,24566700.000000
40000,39805900.000000,39184700.000000,24454600.000000
41000,53615200.000000,48441700.000000,29035900.000000
42000,53578700.000000,47854400.000000,27243900.000000
43000,42557500.000000,49170300.000000,24432300.000000
44000,46362400.000000,53934800.000000,28221600.000000
45000,44490200.000000,55297000.000000,29554600.000000
46000,50151200.000000,56076400.000000,18633600.000000
47000,52910000.000000,59495900.000000,27039900.000000
48000,58176800.000000,61901500.000000,31376600.000000
49000,69503500.000000,67298400.000000
